year,exports
2000,233378876161.0
2001,202827816965.0
2002,215291952391.0
2003,226077625123.0
2004,262488317412.0
2005,289566611725.0
2006,309343448264.0
2007,295905965546.0
2008,286099325270.0
2009,258628013994.0
2010,280415983238.0
2011,269762803576.0
2012,266684762419.0
2013,273675868526.0
2014,296735358563.0
2015,326094789877.0
2016,338784586743.0
2017,398808620949.0
2018,440245435242.0
2019,433859893555.0
2020,444197861832.0
2021,521788685334.0
2022,672352328155.0
2023,650205651441.0
2024,688909474957.0
2025,808119591182.0
2026,227091594241.0
