year,country,exports
2019-01-01,China,75000000000
2019-01-01,United States,60000000000
2019-01-01,Singapore,97000000000
2020-01-01,China,85000000000
2020-01-01,United States,71000000000
2020-01-01,Singapore,112000000000
2021-01-01,China,102000000000
2021-01-01,United States,98000000000
2021-01-01,Singapore,135000000000
2022-01-01,China,115000000000
2022-01-01,United States,130000000000
2022-01-01,Singapore,168000000000
2023-01-01,China,112000000000
2023-01-01,United States,131000000000
2023-01-01,Singapore,166000000000
2024-01-01,China,118000000000
2024-01-01,United States,145000000000
2024-01-01,Singapore,175000000000
2025-01-01,China,125000000000
2025-01-01,United States,162000000000
2025-01-01,Singapore,188000000000
