date,exports
2000-01-01,14958386186.0
2000-02-01,16986581083.0
2000-03-01,20139482974.0
2000-04-01,17989050119.0
2000-05-01,18776956887.0
2000-06-01,19830751054.0
2000-07-01,20301875068.0
2000-08-01,21969621903.0
2000-09-01,22289507276.0
2000-10-01,20403990329.0
2000-11-01,20845810919.0
2000-12-01,18886862363.0
2001-01-01,16863304221.0
2001-02-01,17525700825.0
2001-03-01,18138728691.0
2001-04-01,16361083294.0
2001-05-01,16622109563.0
2001-06-01,16800726242.0
2001-07-01,15628893407.0
2001-08-01,16273742038.0
2001-09-01,17202239494.0
2001-10-01,17732563681.0
2001-11-01,17753091119.0
2001-12-01,15925634390.0
2002-01-01,16875014763.0
2002-02-01,15036232054.0
2002-03-01,19394254843.0
2002-04-01,17811306498.0
2002-05-01,17756357522.0
2002-06-01,17706969038.0
2002-07-01,18598458938.0
2002-08-01,18565151010.0
2002-09-01,18614444427.0
2002-10-01,19077890266.0
2002-11-01,19172455152.0
2002-12-01,16683417880.0
2003-01-01,17658525719.0
2003-02-01,15352188316.0
2003-03-01,18243483777.0
2003-04-01,18411026969.0
2003-05-01,17890076953.0
2003-06-01,19056387264.0
2003-07-01,18670471417.0
2003-08-01,18937440358.0
2003-09-01,19683927195.0
2003-10-01,21552138021.0
2003-11-01,19035567246.0
2003-12-01,21586391888.0
2004-01-01,19721736774.0
2004-02-01,17422837466.0
2004-03-01,22088940726.0
2004-04-01,22032420729.0
2004-05-01,21265651806.0
2004-06-01,22125743351.0
2004-07-01,23469418721.0
2004-08-01,22637874161.0
2004-09-01,24072494632.0
2004-10-01,23877603483.0
2004-11-01,20453708704.0
2004-12-01,23319886859.0
2005-01-01,20730332766.0
2005-02-01,19613116221.0
2005-03-01,25186515359.0
2005-04-01,23173977862.0
2005-05-01,23048961419.0
2005-06-01,24945185024.0
2005-07-01,23897643401.0
2005-08-01,25269761332.0
2005-09-01,26020782947.0
2005-10-01,26910726973.0
2005-11-01,23898309805.0
2005-12-01,26871298616.0
2006-01-01,22292227929.0
2006-02-01,22545511745.0
2006-03-01,27550329765.0
2006-04-01,24379719230.0
2006-05-01,24980050286.0
2006-06-01,26248250237.0
2006-07-01,26276970216.0
2006-08-01,27846683619.0
2006-09-01,28555618296.0
2006-10-01,25179958269.0
2006-11-01,25998241942.0
2006-12-01,27489886730.0
2007-01-01,24323397871.0
2007-02-01,20851099479.0
2007-03-01,24606111765.0
2007-04-01,22044909844.0
2007-05-01,24890680492.0
2007-06-01,23684076136.0
2007-07-01,24251397980.0
2007-08-01,26734199744.0
2007-09-01,27142517516.0
2007-10-01,25856920554.0
2007-11-01,26061008206.0
2007-12-01,25459645959.0
2008-01-01,23627881183.0
2008-02-01,19867350258.0
2008-03-01,19986376900.0
2008-04-01,24835154060.0
2008-05-01,27954912829.0
2008-06-01,24847750566.0
2008-07-01,27093272245.0
2008-08-01,26214574623.0
2008-09-01,27248324911.0
2008-10-01,21996571746.0
2008-11-01,22943786957.0
2008-12-01,19483368992.0
2009-01-01,15873171701.0
2009-02-01,16969326395.0
2009-03-01,19196060230.0
2009-04-01,19431843930.0
2009-05-01,20233313158.0
2009-06-01,21167379693.0
2009-07-01,23436948194.0
2009-08-01,23079712158.0
2009-09-01,23147132862.0
2009-10-01,26178183621.0
2009-11-01,24464015759.0
2009-12-01,25450926293.0
2010-01-01,23706072745.0
2010-02-01,20063903162.0
2010-03-01,26549886541.0
2010-04-01,23182800265.0
2010-05-01,22579226251.0
2010-06-01,23860567602.0
2010-07-01,25013404640.0
2010-08-01,23760205185.0
2010-09-01,21954099601.0
2010-10-01,24500367013.0
2010-11-01,21477998361.0
2010-12-01,23767451872.0
2011-01-01,20782693465.0
2011-02-01,19553169833.0
2011-03-01,24686647923.0
2011-04-01,22559561530.0
2011-05-01,21711494863.0
2011-06-01,23421035976.0
2011-07-01,23366715829.0
2011-08-01,22836789196.0
2011-09-01,23076549748.0
2011-10-01,23022201951.0
2011-11-01,21105726633.0
2011-12-01,23640216629.0
2012-01-01,19544227370.0
2012-02-01,21522496554.0
2012-03-01,23702144778.0
2012-04-01,21520323689.0
2012-05-01,22303194598.0
2012-06-01,23485591085.0
2012-07-01,22618084354.0
2012-08-01,21765709401.0
2012-09-01,24040441111.0
2012-10-01,22600450912.0
2012-11-01,22598884288.0
2012-12-01,20983214279.0
2013-01-01,20692466857.0
2013-02-01,18280933688.0
2013-03-01,22893215101.0
2013-04-01,21052550456.0
2013-05-01,21783749542.0
2013-06-01,22455530590.0
2013-07-01,24100832703.0
2013-08-01,23604307489.0
2013-09-01,24903696211.0
2013-10-01,25605708233.0
2013-11-01,24709681122.0
2013-12-01,23593196534.0
2014-01-01,23677578274.0
2014-02-01,21755411594.0
2014-03-01,24539389461.0
2014-04-01,25203271633.0
2014-05-01,24790160918.0
2014-06-01,23977537986.0
2014-07-01,23781438916.0
2014-08-01,25073602004.0
2014-09-01,26166909904.0
2014-10-01,24512599776.0
2014-11-01,26217983989.0
2014-12-01,27039474108.0
2015-01-01,25508533529.0
2015-02-01,21426010829.0
2015-03-01,28056836586.0
2015-04-01,24988052641.0
2015-05-01,25049000992.0
2015-06-01,27203080837.0
2015-07-01,26882164629.0
2015-08-01,29155392759.0
2015-09-01,30378581439.0
2015-10-01,31082320381.0
2015-11-01,26953953922.0
2015-12-01,29410861333.0
2016-01-01,26701773951.0
2016-02-01,24077697751.0
2016-03-01,28816595914.0
2016-04-01,26030195210.0
2016-05-01,26114095483.0
2016-06-01,28666036544.0
2016-07-01,25480260763.0
2016-08-01,30228171729.0
2016-09-01,30120433398.0
2016-10-01,30607842823.0
2016-11-01,30679706062.0
2016-12-01,31261777115.0
2017-01-01,29163534556.0
2017-02-01,29094555332.0
2017-03-01,34365993299.0
2017-04-01,30700072869.0
2017-05-01,33804337164.0
2017-06-01,32668956124.0
2017-07-01,32664495691.0
2017-08-01,35832863025.0
2017-09-01,35038278518.0
2017-10-01,35580762632.0
2017-11-01,36844070432.0
2017-12-01,33050701307.0
2018-01-01,36677536801.0
2018-02-01,28981975848.0
2018-03-01,37599770481.0
2018-04-01,37636042501.0
2018-05-01,33770753376.0
2018-06-01,34981517488.0
2018-07-01,39429213729.0
2018-08-01,36495729274.0
2018-09-01,37521767570.0
2018-10-01,43490250077.0
2018-11-01,36053643566.0
2018-12-01,37607234531.0
2019-01-01,39001343801.0
2019-02-01,29763961511.0
2019-03-01,36580304444.0
2019-04-01,37936414214.0
2019-05-01,34783840980.0
2019-06-01,32570055747.0
2019-07-01,41766743497.0
2019-08-01,34811082644.0
2019-09-01,34498316203.0
2019-10-01,42753420933.0
2019-11-01,32777333362.0
2019-12-01,36617076219.0
2020-01-01,37483358465.0
2020-02-01,29949990245.0
2020-03-01,33456237839.0
2020-04-01,29154617758.0
2020-05-01,26976322080.0
2020-06-01,38036581734.0
2020-07-01,44862031713.0
2020-08-01,36515572523.0
2020-09-01,43604878857.0
2020-10-01,43736413455.0
2020-11-01,38667731969.0
2020-12-01,41754125194.0
2021-01-01,41731210943.0
2021-02-01,36248105151.0
2021-03-01,45900807242.0
2021-04-01,42814506555.0
2021-05-01,36585873558.0
2021-06-01,42232995446.0
2021-07-01,39407127839.0
2021-08-01,39266473562.0
2021-09-01,46444043839.0
2021-10-01,48259511922.0
2021-11-01,46378419557.0
2021-12-01,56519609720.0
2022-01-01,50291272921.0
2022-02-01,44402966753.0
2022-03-01,59466331607.0
2022-04-01,53919824931.0
2022-05-01,51531592578.0
2022-06-01,59387221331.0
2022-07-01,53842455286.0
2022-08-01,58360891512.0
2022-09-01,64417896139.0
2022-10-01,56816938773.0
2022-11-01,59673540121.0
2022-12-01,60241396203.0
2023-01-01,52273278855.0
2023-02-01,49850965756.0
2023-03-01,57829531733.0
2023-04-01,49009139251.0
2023-05-01,52997650244.0
2023-06-01,60366373877.0
2023-07-01,56195105044.0
2023-08-01,49700967139.0
2023-09-01,60747670128.0
2023-10-01,56327672615.0
2023-11-01,51934685154.0
2023-12-01,52972611645.0
2024-01-01,50937129034.0
2024-02-01,46570816926.0
2024-03-01,58259303991.0
2024-04-01,50958598903.0
2024-05-01,57168604751.0
2024-06-01,60214059389.0
2024-07-01,59275334549.0
2024-08-01,58094871085.0
2024-09-01,61503868007.0
2024-10-01,60324497019.0
2024-11-01,58890577186.0
2024-12-01,66711814117.0
2025-01-01,57739945113.0
2025-02-01,54604888905.0
2025-03-01,70866731552.0
2025-04-01,68675974815.0
2025-05-01,61628291364.0
2025-06-01,61853037045.0
2025-07-01,71901680390.0
2025-08-01,63962705051.0
2025-09-01,72740274669.0
2025-10-01,75336725517.0
2025-11-01,66744143046.0
2025-12-01,82065193715.0
2026-01-01,78636345857.0
2026-02-01,67963198489.99999
2026-03-01,80492049894.0
