year,product,exports
2021,Integrated Circuits,950000000000
2021,Electronic Components,450000000000
2021,Telecommunications,300000000000
2022,Integrated Circuits,1150000000000
2022,Electronic Components,520000000000
2022,Telecommunications,320000000000
2023,Integrated Circuits,1250000000000
2023,Electronic Components,550000000000
2023,Telecommunications,330000000000
2024,Integrated Circuits,1400000000000
2024,Electronic Components,580000000000
2024,Telecommunications,350000000000
2025,Integrated Circuits,1550000000000
2025,Electronic Components,600000000000
2025,Telecommunications,380000000000
