year,month,exports
2021,Jan,32000
2021,Feb,28000
2021,Mar,35000
2021,Apr,34000
2021,May,36000
2021,Jun,38000
2021,Jul,39000
2021,Aug,41000
2021,Sep,42000
2021,Oct,45000
2021,Nov,46000
2021,Dec,48000
2022,Jan,39000
2022,Feb,35000
2022,Mar,41000
2022,Apr,40000
2022,May,43000
2022,Jun,45000
2022,Jul,46000
2022,Aug,48000
2022,Sep,51000
2022,Oct,55000
2022,Nov,56000
2022,Dec,58000
2023,Jan,45000
2023,Feb,41000
2023,Mar,48000
2023,Apr,47000
2023,May,50000
2023,Jun,52000
2023,Jul,53000
2023,Aug,55000
2023,Sep,58000
2023,Oct,60000
2023,Nov,62000
2023,Dec,61000
