year,flow,value
2000,Exports,233378876161.0
2001,Exports,202827816965.0
2002,Exports,215291952391.0
2003,Exports,226077625123.0
2004,Exports,262488317412.0
2005,Exports,289566611725.0
2006,Exports,309343448264.0
2007,Exports,295905965546.0
2008,Exports,286099325270.0
2009,Exports,258628013994.0
2010,Exports,280415983238.0
2011,Exports,269762803576.0
2012,Exports,266684762419.0
2013,Exports,273675868526.0
2014,Exports,296735358563.0
2015,Exports,326094789877.0
2016,Exports,338784586743.0
2017,Exports,398808620949.0
2018,Exports,440245435242.0
2019,Exports,433859893555.0
2020,Exports,444197861832.0
2021,Exports,521788685334.0
2022,Exports,672352328155.0
2023,Exports,650205651441.0
2024,Exports,688909474957.0
2025,Exports,808119591182.0
2026,Exports,227091594241.0
2000,Imports,195727987401.0
2001,Imports,169608995403.0
2002,Imports,187969238634.0
2003,Imports,195328532586.0
2004,Imports,232491296972.0
2005,Imports,248767525563.0
2006,Imports,266662988413.0
2007,Imports,267349682519.0
2008,Imports,254282970999.0
2009,Imports,222364139903.0
2010,Imports,261591113086.0
2011,Imports,255279744508.0
2012,Imports,266469850124.0
2013,Imports,276277976465.0
2014,Imports,285547578125.0
2015,Imports,297067382903.0
2016,Imports,316347705639.0
2017,Imports,372858014129.0
2018,Imports,381572034007.0
2019,Imports,355962844019.0
2020,Imports,349647546596.0
2021,Imports,416772377920.0
2022,Imports,533777515615.0
2023,Imports,500554994573.0
2024,Imports,601671353629.0
2025,Imports,746943735973.0
2026,Imports,194680634728.0
