year,state,exports
2019-01-01,Pulau Pinang,210000
2020-01-01,Pulau Pinang,235000
2021-01-01,Pulau Pinang,280000
2022-01-01,Pulau Pinang,350000
2023-01-01,Pulau Pinang,434000
2019-01-01,Selangor,120000
2020-01-01,Selangor,130000
2021-01-01,Selangor,150000
2022-01-01,Selangor,210000
2023-01-01,Selangor,256000
2019-01-01,Johor,180000
2020-01-01,Johor,210000
2021-01-01,Johor,250000
2022-01-01,Johor,290000
2023-01-01,Johor,313000
2019-01-01,Kedah,25000
2020-01-01,Kedah,28000
2021-01-01,Kedah,35000
2022-01-01,Kedah,42000
2023-01-01,Kedah,50000
