country,imports,exports,total_trade
Singapore,52000000000,188000000000,240000000000
United States,42000000000,162000000000,204000000000
China,108000000000,125000000000,233000000000
Taiwan,78000000000,22000000000,100000000000
Japan,31000000000,38000000000,69000000000
Hong Kong,12000000000,82000000000,94000000000
South Korea,21000000000,18000000000,39000000000
Germany,15000000000,18000000000,33000000000
Thailand,11000000000,25000000000,36000000000
Vietnam,9000000000,15000000000,24000000000
